Method	Train	GSE24206	GSE53845
Lasso+Stepglm[both]	0.959398496240601	0.950980392156863	0.740625
SVM	0.942857142857143	0.774509803921569	0.7625
glmBoost+SVM	0.916541353383459	0.774509803921569	0.7625
Ridge	0.96390977443609	0.970588235294118	0.746875
Lasso+SVM	0.916541353383459	0.774509803921569	0.7625
glmBoost+Ridge	0.96390977443609	0.970588235294118	0.746875
Enet[alpha=0.1]	0.96390977443609	0.970588235294118	0.746875
glmBoost+Enet[alpha=0.1]	0.96390977443609	0.970588235294118	0.7375
Enet[alpha=0.2]	0.965413533834586	0.970588235294118	0.734375
Enet[alpha=0.3]	0.965413533834586	0.970588235294118	0.746875
glmBoost+Enet[alpha=0.3]	0.965413533834586	0.970588235294118	0.74375
glmBoost+Enet[alpha=0.2]	0.965413533834586	0.970588235294118	0.746875
Enet[alpha=0.4]	0.965413533834586	0.970588235294118	0.734375
glmBoost+Enet[alpha=0.4]	0.965413533834586	0.970588235294118	0.74375
Lasso+glmBoost	0.962406015037594	0.970588235294118	0.73125
Enet[alpha=0.5]	0.96390977443609	0.970588235294118	0.728125
glmBoost	0.962406015037594	0.970588235294118	0.734375
glmBoost+Enet[alpha=0.5]	0.96390977443609	0.970588235294118	0.728125
Enet[alpha=0.6]	0.96390977443609	0.970588235294118	0.728125
glmBoost+Enet[alpha=0.6]	0.96390977443609	0.970588235294118	0.728125
glmBoost+Enet[alpha=0.7]	0.962406015037594	0.970588235294118	0.721875
glmBoost+Enet[alpha=0.8]	0.962406015037594	0.970588235294118	0.734375
Enet[alpha=0.8]	0.962406015037594	0.970588235294118	0.728125
Enet[alpha=0.9]	0.962406015037594	0.970588235294118	0.728125
Lasso	0.962406015037594	0.970588235294118	0.721875
Enet[alpha=0.7]	0.962406015037594	0.970588235294118	0.721875
glmBoost+Enet[alpha=0.9]	0.962406015037594	0.970588235294118	0.73125
glmBoost+Lasso	0.962406015037594	0.970588235294118	0.728125
Lasso+plsRglm	0.960902255639098	0.970588235294118	0.73125
glmBoost+plsRglm	0.960902255639098	0.970588235294118	0.73125
glmBoost+Stepglm[forward]	0.959398496240601	0.980392156862745	0.69375
Lasso+Stepglm[forward]	0.959398496240601	0.980392156862745	0.69375
RF+SVM	0.866165413533835	0.857843137254902	0.7
Stepglm[forward]	0.959398496240601	0.980392156862745	0.69375
plsRglm	0.960902255639098	0.970588235294118	0.73125
RF+Ridge	0.941353383458647	0.96078431372549	0.69375
RF+Enet[alpha=0.1]	0.93984962406015	0.96078431372549	0.703125
RF+plsRglm	0.936842105263158	0.980392156862745	0.65625
RF+Stepglm[forward]	0.941353383458647	0.980392156862745	0.696875
