features	algorithm
AURKA	Lasso+Stepglm[both]
CCNA1	Lasso+Stepglm[both]
MMP13	Lasso+Stepglm[both]
MMP2	Lasso+Stepglm[both]
AURKA	SVM
CCNA1	SVM
CCNA2	SVM
MMP13	SVM
MMP2	SVM
MMP3	SVM
AURKA	glmBoost+SVM
CCNA1	glmBoost+SVM
CCNA2	glmBoost+SVM
MMP13	glmBoost+SVM
MMP2	glmBoost+SVM
MMP3	glmBoost+SVM
AURKA	Ridge
CCNA1	Ridge
CCNA2	Ridge
MMP13	Ridge
MMP2	Ridge
MMP3	Ridge
AURKA	Lasso+SVM
CCNA1	Lasso+SVM
CCNA2	Lasso+SVM
MMP13	Lasso+SVM
MMP2	Lasso+SVM
MMP3	Lasso+SVM
AURKA	glmBoost+Ridge
CCNA1	glmBoost+Ridge
CCNA2	glmBoost+Ridge
MMP13	glmBoost+Ridge
MMP2	glmBoost+Ridge
MMP3	glmBoost+Ridge
AURKA	Enet[alpha=0.1]
CCNA1	Enet[alpha=0.1]
CCNA2	Enet[alpha=0.1]
MMP13	Enet[alpha=0.1]
MMP2	Enet[alpha=0.1]
MMP3	Enet[alpha=0.1]
AURKA	glmBoost+Enet[alpha=0.1]
CCNA1	glmBoost+Enet[alpha=0.1]
CCNA2	glmBoost+Enet[alpha=0.1]
MMP13	glmBoost+Enet[alpha=0.1]
MMP2	glmBoost+Enet[alpha=0.1]
MMP3	glmBoost+Enet[alpha=0.1]
AURKA	Enet[alpha=0.2]
CCNA1	Enet[alpha=0.2]
CCNA2	Enet[alpha=0.2]
MMP13	Enet[alpha=0.2]
MMP2	Enet[alpha=0.2]
MMP3	Enet[alpha=0.2]
AURKA	Enet[alpha=0.3]
CCNA1	Enet[alpha=0.3]
CCNA2	Enet[alpha=0.3]
MMP13	Enet[alpha=0.3]
MMP2	Enet[alpha=0.3]
MMP3	Enet[alpha=0.3]
AURKA	glmBoost+Enet[alpha=0.3]
CCNA1	glmBoost+Enet[alpha=0.3]
CCNA2	glmBoost+Enet[alpha=0.3]
MMP13	glmBoost+Enet[alpha=0.3]
MMP2	glmBoost+Enet[alpha=0.3]
MMP3	glmBoost+Enet[alpha=0.3]
AURKA	glmBoost+Enet[alpha=0.2]
CCNA1	glmBoost+Enet[alpha=0.2]
CCNA2	glmBoost+Enet[alpha=0.2]
MMP13	glmBoost+Enet[alpha=0.2]
MMP2	glmBoost+Enet[alpha=0.2]
MMP3	glmBoost+Enet[alpha=0.2]
AURKA	Enet[alpha=0.4]
CCNA1	Enet[alpha=0.4]
CCNA2	Enet[alpha=0.4]
MMP13	Enet[alpha=0.4]
MMP2	Enet[alpha=0.4]
MMP3	Enet[alpha=0.4]
AURKA	glmBoost+Enet[alpha=0.4]
CCNA1	glmBoost+Enet[alpha=0.4]
CCNA2	glmBoost+Enet[alpha=0.4]
MMP13	glmBoost+Enet[alpha=0.4]
MMP2	glmBoost+Enet[alpha=0.4]
MMP3	glmBoost+Enet[alpha=0.4]
AURKA	Lasso+glmBoost
CCNA1	Lasso+glmBoost
CCNA2	Lasso+glmBoost
MMP13	Lasso+glmBoost
MMP2	Lasso+glmBoost
MMP3	Lasso+glmBoost
AURKA	Enet[alpha=0.5]
CCNA1	Enet[alpha=0.5]
CCNA2	Enet[alpha=0.5]
MMP13	Enet[alpha=0.5]
MMP2	Enet[alpha=0.5]
MMP3	Enet[alpha=0.5]
AURKA	glmBoost
CCNA1	glmBoost
CCNA2	glmBoost
MMP13	glmBoost
MMP2	glmBoost
MMP3	glmBoost
AURKA	glmBoost+Enet[alpha=0.5]
CCNA1	glmBoost+Enet[alpha=0.5]
CCNA2	glmBoost+Enet[alpha=0.5]
MMP13	glmBoost+Enet[alpha=0.5]
MMP2	glmBoost+Enet[alpha=0.5]
MMP3	glmBoost+Enet[alpha=0.5]
AURKA	Enet[alpha=0.6]
CCNA1	Enet[alpha=0.6]
CCNA2	Enet[alpha=0.6]
MMP13	Enet[alpha=0.6]
MMP2	Enet[alpha=0.6]
MMP3	Enet[alpha=0.6]
AURKA	glmBoost+Enet[alpha=0.6]
CCNA1	glmBoost+Enet[alpha=0.6]
CCNA2	glmBoost+Enet[alpha=0.6]
MMP13	glmBoost+Enet[alpha=0.6]
MMP2	glmBoost+Enet[alpha=0.6]
MMP3	glmBoost+Enet[alpha=0.6]
AURKA	glmBoost+Enet[alpha=0.7]
CCNA1	glmBoost+Enet[alpha=0.7]
CCNA2	glmBoost+Enet[alpha=0.7]
MMP13	glmBoost+Enet[alpha=0.7]
MMP2	glmBoost+Enet[alpha=0.7]
MMP3	glmBoost+Enet[alpha=0.7]
AURKA	glmBoost+Enet[alpha=0.8]
CCNA1	glmBoost+Enet[alpha=0.8]
CCNA2	glmBoost+Enet[alpha=0.8]
MMP13	glmBoost+Enet[alpha=0.8]
MMP2	glmBoost+Enet[alpha=0.8]
MMP3	glmBoost+Enet[alpha=0.8]
AURKA	Enet[alpha=0.8]
CCNA1	Enet[alpha=0.8]
CCNA2	Enet[alpha=0.8]
MMP13	Enet[alpha=0.8]
MMP2	Enet[alpha=0.8]
MMP3	Enet[alpha=0.8]
AURKA	Enet[alpha=0.9]
CCNA1	Enet[alpha=0.9]
CCNA2	Enet[alpha=0.9]
MMP13	Enet[alpha=0.9]
MMP2	Enet[alpha=0.9]
MMP3	Enet[alpha=0.9]
AURKA	Lasso
CCNA1	Lasso
CCNA2	Lasso
MMP13	Lasso
MMP2	Lasso
MMP3	Lasso
AURKA	Enet[alpha=0.7]
CCNA1	Enet[alpha=0.7]
CCNA2	Enet[alpha=0.7]
MMP13	Enet[alpha=0.7]
MMP2	Enet[alpha=0.7]
MMP3	Enet[alpha=0.7]
AURKA	glmBoost+Enet[alpha=0.9]
CCNA1	glmBoost+Enet[alpha=0.9]
CCNA2	glmBoost+Enet[alpha=0.9]
MMP13	glmBoost+Enet[alpha=0.9]
MMP2	glmBoost+Enet[alpha=0.9]
MMP3	glmBoost+Enet[alpha=0.9]
AURKA	glmBoost+Lasso
CCNA1	glmBoost+Lasso
CCNA2	glmBoost+Lasso
MMP13	glmBoost+Lasso
MMP2	glmBoost+Lasso
MMP3	glmBoost+Lasso
AURKA	Lasso+plsRglm
CCNA1	Lasso+plsRglm
CCNA2	Lasso+plsRglm
MMP13	Lasso+plsRglm
MMP2	Lasso+plsRglm
MMP3	Lasso+plsRglm
AURKA	glmBoost+plsRglm
CCNA1	glmBoost+plsRglm
CCNA2	glmBoost+plsRglm
MMP13	glmBoost+plsRglm
MMP2	glmBoost+plsRglm
MMP3	glmBoost+plsRglm
AURKA	glmBoost+Stepglm[forward]
CCNA1	glmBoost+Stepglm[forward]
CCNA2	glmBoost+Stepglm[forward]
MMP13	glmBoost+Stepglm[forward]
MMP2	glmBoost+Stepglm[forward]
MMP3	glmBoost+Stepglm[forward]
AURKA	Lasso+Stepglm[forward]
CCNA1	Lasso+Stepglm[forward]
CCNA2	Lasso+Stepglm[forward]
MMP13	Lasso+Stepglm[forward]
MMP2	Lasso+Stepglm[forward]
MMP3	Lasso+Stepglm[forward]
CCNA2	RF+SVM
MMP13	RF+SVM
MMP2	RF+SVM
AURKA	Stepglm[forward]
CCNA1	Stepglm[forward]
CCNA2	Stepglm[forward]
MMP13	Stepglm[forward]
MMP2	Stepglm[forward]
MMP3	Stepglm[forward]
AURKA	plsRglm
CCNA1	plsRglm
CCNA2	plsRglm
MMP13	plsRglm
MMP2	plsRglm
MMP3	plsRglm
CCNA2	RF+Ridge
MMP13	RF+Ridge
MMP2	RF+Ridge
CCNA2	RF+Enet[alpha=0.1]
MMP13	RF+Enet[alpha=0.1]
MMP2	RF+Enet[alpha=0.1]
CCNA2	RF+plsRglm
MMP13	RF+plsRglm
MMP2	RF+plsRglm
CCNA2	RF+Stepglm[forward]
MMP13	RF+Stepglm[forward]
MMP2	RF+Stepglm[forward]
CCNA2	RF+Enet[alpha=0.2]
MMP13	RF+Enet[alpha=0.2]
MMP2	RF+Enet[alpha=0.2]
CCNA2	RF+Enet[alpha=0.3]
MMP13	RF+Enet[alpha=0.3]
MMP2	RF+Enet[alpha=0.3]
CCNA2	RF+Enet[alpha=0.6]
MMP13	RF+Enet[alpha=0.6]
MMP2	RF+Enet[alpha=0.6]
CCNA2	RF+Lasso
MMP13	RF+Lasso
MMP2	RF+Lasso
CCNA2	RF+Enet[alpha=0.7]
MMP13	RF+Enet[alpha=0.7]
MMP2	RF+Enet[alpha=0.7]
CCNA2	RF+Enet[alpha=0.5]
MMP13	RF+Enet[alpha=0.5]
MMP2	RF+Enet[alpha=0.5]
CCNA2	RF+glmBoost
MMP13	RF+glmBoost
MMP2	RF+glmBoost
CCNA2	RF+Enet[alpha=0.9]
MMP13	RF+Enet[alpha=0.9]
MMP2	RF+Enet[alpha=0.9]
CCNA2	RF+Enet[alpha=0.4]
MMP13	RF+Enet[alpha=0.4]
MMP2	RF+Enet[alpha=0.4]
CCNA2	RF+Enet[alpha=0.8]
MMP13	RF+Enet[alpha=0.8]
MMP2	RF+Enet[alpha=0.8]
CCNA2	RF+Stepglm[both]
MMP13	RF+Stepglm[both]
MMP2	RF+Stepglm[both]
CCNA2	RF+Stepglm[backward]
MMP13	RF+Stepglm[backward]
MMP2	RF+Stepglm[backward]
AURKA	Stepglm[both]+Ridge
CCNA1	Stepglm[both]+Ridge
MMP13	Stepglm[both]+Ridge
MMP2	Stepglm[both]+Ridge
AURKA	Stepglm[backward]+Ridge
CCNA1	Stepglm[backward]+Ridge
MMP13	Stepglm[backward]+Ridge
MMP2	Stepglm[backward]+Ridge
AURKA	Stepglm[both]+plsRglm
CCNA1	Stepglm[both]+plsRglm
MMP13	Stepglm[both]+plsRglm
MMP2	Stepglm[both]+plsRglm
AURKA	Stepglm[backward]+plsRglm
CCNA1	Stepglm[backward]+plsRglm
MMP13	Stepglm[backward]+plsRglm
MMP2	Stepglm[backward]+plsRglm
AURKA	Stepglm[both]+Enet[alpha=0.9]
CCNA1	Stepglm[both]+Enet[alpha=0.9]
