id	Lasso+Stepglm[both]	SVM	glmBoost+SVM	Ridge	Lasso+SVM	glmBoost+Ridge	Enet[alpha=0.1]	glmBoost+Enet[alpha=0.1]	Enet[alpha=0.2]	Enet[alpha=0.3]	glmBoost+Enet[alpha=0.3]	glmBoost+Enet[alpha=0.2]	Enet[alpha=0.4]	glmBoost+Enet[alpha=0.4]	Lasso+glmBoost	Enet[alpha=0.5]	glmBoost	glmBoost+Enet[alpha=0.5]	Enet[alpha=0.6]	glmBoost+Enet[alpha=0.6]	glmBoost+Enet[alpha=0.7]	glmBoost+Enet[alpha=0.8]	Enet[alpha=0.8]	Enet[alpha=0.9]	Lasso	Enet[alpha=0.7]	glmBoost+Enet[alpha=0.9]	glmBoost+Lasso	Lasso+plsRglm	glmBoost+plsRglm	glmBoost+Stepglm[forward]	Lasso+Stepglm[forward]	RF+SVM	Stepglm[forward]	plsRglm	RF+Ridge	RF+Enet[alpha=0.1]	RF+plsRglm	RF+Stepglm[forward]	RF+Enet[alpha=0.2]	RF+Enet[alpha=0.3]	RF+Enet[alpha=0.6]	RF+Lasso	RF+Enet[alpha=0.7]	RF+Enet[alpha=0.5]	RF+glmBoost	RF+Enet[alpha=0.9]	RF+Enet[alpha=0.4]	RF+Enet[alpha=0.8]	RF+Stepglm[both]	RF+Stepglm[backward]	Stepglm[both]+Ridge	Stepglm[backward]+Ridge	Stepglm[both]+plsRglm	Stepglm[backward]+plsRglm	Stepglm[both]+Enet[alpha=0.9]	Stepglm[backward]+Enet[alpha=0.9]	Stepglm[both]+Enet[alpha=0.1]	Stepglm[backward]+Enet[alpha=0.1]	Stepglm[both]+Enet[alpha=0.8]	Stepglm[backward]+Enet[alpha=0.8]	Stepglm[both]+Enet[alpha=0.2]	Stepglm[backward]+Enet[alpha=0.2]	Stepglm[both]+Lasso	Stepglm[backward]+Lasso	Stepglm[both]+Enet[alpha=0.6]	Stepglm[backward]+Enet[alpha=0.6]	glmBoost+GBM	Stepglm[both]+Enet[alpha=0.7]	Stepglm[backward]+Enet[alpha=0.7]	Lasso+Stepglm[backward]	Stepglm[both]	Stepglm[backward]	glmBoost+Stepglm[both]	glmBoost+Stepglm[backward]	Stepglm[both]+Enet[alpha=0.4]	Stepglm[backward]+Enet[alpha=0.4]	Stepglm[both]+Enet[alpha=0.3]	Stepglm[backward]+Enet[alpha=0.3]	Stepglm[both]+glmBoost	Stepglm[backward]+glmBoost	Stepglm[both]+Enet[alpha=0.5]	Stepglm[backward]+Enet[alpha=0.5]	glmBoost+RF	RF	Lasso+GBM	RF+GBM	GBM	Stepglm[both]+SVM	Stepglm[backward]+SVM	Lasso+RF	Stepglm[both]+GBM	Stepglm[backward]+GBM	Stepglm[both]+RF	LDA	glmBoost+LDA	RF+LDA	Stepglm[both]+LDA	Stepglm[backward]+LDA	Lasso+LDA	Stepglm[backward]+RF	NaiveBayes	Lasso+NaiveBayes	glmBoost+NaiveBayes	RF+NaiveBayes	Stepglm[both]+NaiveBayes	Stepglm[backward]+NaiveBayes
Train.GSE10667_GSM269749_Control	0.41770114005734	0	0	0.272550566394113	0	0.26397400605913	0.264793301157158	0.247197299834482	0.238570222654433	0.267389158858004	0.257730069951615	0.26577909834492	0.242017624895002	0.261398172343575	0.223084971448906	0.24195199243938	0.22791364870584	0.232442835192265	0.236212585137324	0.236212585137324	0.214089716134519	0.252598191570676	0.242178047265801	0.232452910113259	0.224124735450269	0.214089716134519	0.242834619051287	0.234244075092454	0.0992648552579417	0.0992648552579417	0.0729023245947637	0.0729023245947637	0	0.0729023245947637	0.0992648552579417	0.108322581882171	0.0945766166540597	0.0233708367905627	0.0273647461825176	0.130326525332492	0.0901991842788061	0.0989912873225325	0.0728648048778735	0.0948753793628775	0.105047673832356	0.0869652552536105	0.090267536350878	0.0950584734303279	0.0985432153014145	0.0273647461825176	0.0273647461825176	0.541563660968143	0.541563660968143	0.532519493477887	0.532519493477887	0.488758503096601	0.496568854582006	0.533775009309208	0.526202053479126	0.490090576445193	0.497952211381184	0.525681935253277	0.525681935253277	0.491415017644709	0.495289827365319	0.514013669288026	0.509961704645467	0.441420566402939	0.523111488042179	0.519369799352917	0.41770114005734	0.41770114005734	0.41770114005734	0.41770114005734	0.41770114005734	0.514077821390759	0.518127170038268	0.521485583660257	0.513476884425641	0.47326585427829	0.471428186218378	0.513249934966463	0.521166198252221	0.402118253968253	0.381851984126984	0.418954402982799	0.484791914342437	0.453703153567999	0	0	0.389594047619047	0.474526662435002	0.477385579920664	0.460455555555555	0.292437974248303	0.292437974248303	0.0515341417820153	0.634019149976201	0.634019149976201	0.292437974248303	0.469240476190476	0.0515551259897224	0.0515551259897224	0.0515551259897224	0.0650173135994276	0.416203712865171	0.416203712865171
Train.GSE10667_GSM269750_Control	0.00768373318459157	0	0	0.0667038531580156	0	0.0613460464474863	0.0615984909964363	0.0515840103107468	0.0468950331837954	0.0626097994203058	0.0568493913417284	0.0619239772944759	0.0480190881509322	0.0586555289119524	0.037129545223541	0.0476252379861789	0.0375326867671475	0.0429874529211111	0.044388471503297	0.044388471503297	0.0343098070042717	0.0519551116925706	0.0464144132991382	0.0411969577088668	0.0369268377035827	0.0343098070042717	0.0462154934756975	0.0414467137479139	0.0136891192314319	0.0136891192314319	0.00392819601815806	0.00392819601815806	0	0.00392819601815806	0.0136891192314319	0.0278293446039469	0.0225968813903768	0.00369004893465469	0.00413639392848678	0.0374090077095096	0.0210986248598292	0.024414674185874	0.015632499471982	0.0229320963298881	0.0267002264167293	0.0215975840445012	0.0213676839547583	0.022879474216873	0.02433051563619	0.00413639392848678	0.00413639392848678	0.0428627303468484	0.0428627303468484	0.00625756742267869	0.00625756742267869	0.0288223850022015	0.0339773297141306	0.038991479997657	0.0339073565727119	0.0272114305386613	0.0318123763155519	0.0354763989342477	0.0354763989342477	0.0337910799740998	0.0369206698412321	0.0371902739526903	0.0343282523631649	0.121424614498993	0.0500436329928635	0.0458125274891556	0.00768373318459157	0.00768373318459157	0.00768373318459157	0.00768373318459157	0.00768373318459157	0.0323293874148245	0.0348312497821772	0.0348240293662581	0.0301798377384684	0.0411048859265809	0.0409601777493975	0.0340028612295101	0.0397578293607306	0.117744444444445	0.112175793650794	0.0932689864299907	0.0993630364389073	0.127470121698614	0	0	0.10015753968254	0.0450756342694428	0.0334076656562259	0.0485646825396826	0.0040323466515935	0.0040323466515935	0.00623137350500086	0.00433163193703194	0.00433163193703194	0.0040323466515935	0.047995634920635	0.000408821113678399	0.000408821113678399	0.000408821113678399	0.00197218213271891	0.00157469148350695	0.00157469148350695
Train.GSE10667_GSM269751_Control	0.0231480309345272	0	0	0.1245589416308	0	0.11773875987449	0.117538475278997	0.104434057817345	0.0976550353205616	0.117652992121503	0.110379188748188	0.117392499241737	0.0983198197014089	0.112095537469761	0.0754165666623077	0.097317637591146	0.0753034905577323	0.0910556960760191	0.0925089592635283	0.0925089592635283	0.0780160239870428	0.101171881358147	0.094135824312479	0.0867217578184966	0.0804457815021044	0.0780160239870428	0.0932863103130197	0.0865039176523426	0.0380951520596628	0.0380951520596628	0.0197105084297434	0.0197105084297434	0	0.0197105084297434	0.0380951520596628	0.053534571403617	0.0452029494324803	0.0124236995864506	0.0117845286579232	0.067318792399332	0.0425701538730708	0.047325758873665	0.0329474957979941	0.0448923640671486	0.0509651736209711	0.0410474087648122	0.0421669162164835	0.0452606970816112	0.0468457790068748	0.0117845286579232	0.0117845286579232	0.0791098424208179	0.0791098424208179	0.0142140917887165	0.0142140917887165	0.059440286223265	0.0667691782147599	0.0738075887771127	0.0667008283254364	0.0570452040758678	0.063729971156544	0.0689118147942395	0.0689118147942395	0.0665066774212643	0.0707749939058429	0.0712323964220159	0.0672718682997547	0.125431551933268	0.0879359266492454	0.0825848255966542	0.0231480309345272	0.0231480309345272	0.0231480309345272	0.0231480309345272	0.0231480309345272	0.0644468704103874	0.0679925897205985	0.0679885029717975	0.0613346706763185	0.0732928077140708	0.0725265572615766	0.0668197847417677	0.0747395004874467	0.12959126984127	0.139819047619048	0.102377222103357	0.0993630364389073	0.122797558209384	0	0	0.122497222222222	0.0975464834136856	0.0829861706040167	0.0844896825396827	0.0123674238978409	0.0123674238978409	0.0138799122457722	0.0119587781187415	0.0119587781187415	0.0123674238978409	0.0834488095238097	0.00103409178925357	0.00103409178925357	0.00103409178925357	0.00469701864813521	0.00311514179290376	0.00311514179290376
Train.GSE10667_GSM269752_Control	0.0229660848058302	0	0	0.0992060556065727	0	0.0937224061232851	0.0957552004185813	0.0850745359495326	0.0814349454707484	0.100592543716363	0.0942672948635586	0.0979381257463324	0.0859258553477732	0.0981687251493086	0.0782361827829902	0.0871458155451717	0.0778601473753691	0.0814568273010693	0.0848413559302151	0.0848413559302151	0.0730044364558047	0.0981750494752572	0.0910135413728814	0.0857763100050423	0.0813607064642451	0.0730044364558047	0.0926719126733345	0.0879511755982636	0.0178387139128119	0.0178387139128119	0.0183128501801053	0.0183128501801053	0	0.0183128501801053	0.0178387139128119	0.144030739234987	0.129278066303937	0.062647701904391	0.0540909445346738	0.164712512620128	0.12382137379686	0.130893157450153	0.103260315952823	0.126256115520655	0.137473815357163	0.112514804461635	0.120563349556113	0.128225327338212	0.129076675536904	0.0540909445346738	0.0540909445346738	0.0945045498489394	0.0945045498489394	0.0272275373915344	0.0272275373915344	0.066271496887175	0.0755538935069293	0.0873992497116864	0.0782105477520673	0.0636215426325976	0.0720823266080939	0.0807767536233359	0.0807767536233359	0.0747947328124196	0.0802410587218392	0.0824326823166929	0.0773528813520718	0.0693747613795833	0.103617224757107	0.0966986436868171	0.0229660848058302	0.0229660848058302	0.0229660848058302	0.0229660848058302	0.0229660848058302	0.0743981644597551	0.0789566507036953	0.0792740201944466	0.070693124307883	0.0856397984370749	0.0852638258403773	0.0771216675047027	0.0873095295324115	0.0406003968253969	0.041531746031746	0.0526211669905041	0.0993630364389073	0.0709845411780275	0	0	0.0427456349206349	0.0450204196536955	0.0332961813000438	0.0547726190476191	0.0148816036313613	0.0148816036313613	0.0577131645770739	0.0216324662837855	0.0216324662837855	0.0148816036313613	0.0512781746031747	0.000357613908781023	0.000357613908781023	0.000357613908781023	0.0281018342238857	0.00767999631590123	0.00767999631590123
Train.GSE10667_GSM269753_Control	0.0147527991870652	0	0	0.116912388376237	0	0.110806843823886	0.112109602756689	0.100191656934329	0.0952187260508858	0.115221266509853	0.108405265961388	0.11347130112421	0.098309734668364	0.1114577239233	0.0843750064948861	0.0985855383033042	0.0838924262256563	0.0924681734460603	0.0950605297090779	0.0950605297090779	0.0814570663088515	0.106233152617733	0.0990732302237202	0.0925326447495077	0.0869068094022115	0.0814570663088515	0.0993829707761257	0.0933766308225678	0.0242983224723475	0.0242983224723475	0.0182996734312942	0.0182996734312942	0	0.0182996734312942	0.0242983224723475	0.0673745729737741	0.0576404168052847	0.0193036190480224	0.0169475927865664	0.0826751291793301	0.0543925168935681	0.0595225463599881	0.0425872899586102	0.0566247652090123	0.0637904577036477	0.0511580560960051	0.0532704136155089	0.0574012102244129	0.0587028005697636	0.0169475927865664	0.0169475927865664	0.0755143403818816	0.0755143403818816	0.0136420763335937	0.0136420763335937	0.0508486288742589	0.0586242452528723	0.0693885182271332	0.0615340601723066	0.0487149543571396	0.0558430075556221	0.0636889327884546	0.0636889327884546	0.0578316182511619	0.062346493468875	0.0648147940846018	0.0604955000851915	0.102395484364305	0.0824735631263184	0.0766776424994291	0.0147527991870652	0.0147527991870652	0.0147527991870652	0.0147527991870652	0.0147527991870652	0.0581355242343904	0.0620335590293001	0.0623608487247986	0.0550298983951924	0.0687541899144603	0.068965995991744	0.0603839564136632	0.0690446950802203	0.12534126984127	0.132653571428572	0.0862552240996934	0.100143002609518	0.101265536627649	0	0	0.112819841269841	0.0875241424413396	0.0768120096813182	0.125104365079365	0.0167143904488118	0.0167143904488118	0.0183257395379816	0.0145614171637731	0.0145614171637731	0.0167143904488118	0.142930555555556	0.00114583311618624	0.00114583311618624	0.00114583311618624	0.00698370518777275	0.00777428938318889	0.00777428938318889
Train.GSE10667_GSM269754_Control	0.77346949567505	0	1	0.639875080733223	1	0.641987093698114	0.640916178996683	0.64561293451496	0.647372240237533	0.638352840232755	0.64105188918084	0.63975119020704	0.644934612981742	0.639064554483108	0.598164782251378	0.644222287855658	0.596378780173402	0.647363574356822	0.645445377187374	0.645445377187374	0.652825580404671	0.637964769828539	0.641866848420018	0.644886345105774	0.647830594014839	0.652825580404671	0.640825196803726	0.643576867768217	0.638614515949607	0.638614515949607	0.71276305610389	0.71276305610389	0	0.71276305610389	0.638614515949607	0.509024851166727	0.503985547061816	0.477262133503021	0.466872964592565	0.515018194612181	0.501752956751979	0.503684847671879	0.49262879277104	0.501892067285355	0.506073343414595	0.46171688078129	0.499458846736228	0.503127354493788	0.50267711966951	0.466872964592565	0.466872964592565	0.71764235700103	0.71764235700103	0.75499672455876	0.75499672455876	0.724940856319688	0.718025181931606	0.720407676696679	0.725596834659081	0.728282748165679	0.721950087973779	0.723181987771802	0.723181987771802	0.716969620695513	0.713041495610062	0.717740437465376	0.720929167555647	0.378294555512399	0.70392925207039	0.707784093454071	0.77346949567505	0.77346949567505	0.77346949567505	0.77346949567505	0.77346949567505	0.725077825543528	0.72225230514459	0.723095839015028	0.728437533674057	0.66301394691122	0.660043872500601	0.722259266292819	0.716070770964588	0.42340992063492	0.412862698412698	0.373303888862718	0.231543351088026	0.358898606896511	1	1	0.423037301587301	0.494049735312143	0.517620221018797	0.452762301587301	0.721031417315695	0.721031417315695	0.451291740262196	0.792167295089236	0.792167295089236	0.721031417315695	0.486300793650794	0.46808315033107	0.46808315033107	0.46808315033107	0.365534555606487	0.6887636733799	0.6887636733799
Train.GSE10667_GSM269755_Control	0.115614467660693	0	0	0.190365635055381	0	0.184207474799664	0.187232368958537	0.175050904154942	0.171599143791331	0.194289731625156	0.187202036404044	0.190471997783401	0.178555874979575	0.192514488353412	0.161484382841547	0.180926562522466	0.160162921263012	0.174269216521568	0.179254002428299	0.179254002428299	0.166103057343793	0.197001858097067	0.188741504597096	0.183840129465266	0.179828331567796	0.166103057343793	0.191972048132169	0.187784738812138	0.0651921121220462	0.0651921121220462	0.0889868726511293	0.0889868726511293	0	0.0889868726511293	0.0651921121220462	0.341687279251022	0.328456860014841	0.262903616477523	0.240655971813345	0.358188673240146	0.323026015201582	0.328774894163844	0.30140968183616	0.324327305894005	0.334839922325554	0.291861574658099	0.318533806972069	0.326859955265988	0.326598249171999	0.240655971813345	0.240655971813345	0.214115846093521	0.214115846093521	0.11595460545245	0.11595460545245	0.184186097381332	0.196335170960176	0.20622294210441	0.195159769010863	0.179964128579385	0.19113438657082	0.198701911502166	0.198701911502166	0.196184938281236	0.203149269223955	0.20278740437498	0.196544980357961	0.169009604820545	0.228452624376325	0.220494958885842	0.115614467660693	0.115614467660693	0.115614467660693	0.115614467660693	0.115614467660693	0.191764678127048	0.197402782221946	0.197311504470245	0.186621203604166	0.193478729962528	0.191247529009954	0.195685033486546	0.208079584374353	0.166146031746032	0.186072619047619	0.149010397378847	0.129532059995556	0.167721668331846	0	0	0.174596825396826	0.152057529388922	0.12782999573744	0.190514682539683	0.0479735586537453	0.0479735586537453	0.228340277645428	0.078371038759325	0.078371038759325	0.0479735586537453	0.196130158730159	0.00508740070284565	0.00508740070284565	0.00508740070284565	0.144710227975762	0.0688486019452094	0.0688486019452094
Train.GSE10667_GSM269756_Control	0.00337940569815043	0	0	0.075553819907483	0	0.069615957310006	0.0708359858610014	0.0594011382451307	0.0546191270055342	0.0740459590762036	0.0671849649817501	0.072195493902398	0.0572991114265788	0.0703274064747824	0.0476171008837319	0.057520783184703	0.0478158710736514	0.0516892825923843	0.054088024995819	0.054088024995819	0.0415392823433871	0.065662710156588	0.0581600195688613	0.0517362932565917	0.046346808868641	0.0415392823433871	0.0586545498546753	0.0526967248792838	0.0169034984464744	0.0169034984464744	0.00367231975888365	0.00367231975888365	0	0.00367231975888365	0.0169034984464744	0.103626718754871	0.0907959214411592	0.0317726139249776	0.0302410436986557	0.12315158584336	0.0864280163793605	0.0934651357514707	0.0699180752126378	0.089571545680365	0.0991264668954191	0.0808198241346703	0.085020845113281	0.0905392577092567	0.0924366780425781	0.0302410436986557	0.0302410436986557	0.0359475197614353	0.0359475197614353	0.00810485351272548	0.00810485351272548	0.0199607603997735	0.024878487713266	0.0316710602937658	0.0264043651851003	0.0186628871207021	0.0230028924141348	0.0278400225706814	0.0278400225706814	0.0244474183697584	0.0275286816065834	0.028794361159488	0.0259040821386926	0.0774008922030735	0.0421907700954508	0.0375936381550696	0.00337940569815043	0.00337940569815043	0.00337940569815043	0.00337940569815043	0.00337940569815043	0.0242986153578597	0.0268097232448763	0.0269911197503022	0.0223400805239048	0.0339679071441673	0.0343674396290915	0.0257821703458191	0.0316695249832622	0.107105158730159	0.104145238095238	0.0584796986862362	0.0993630364389073	0.0788156464319148	0	0	0.103024206349206	0.0450756342694428	0.0334076656562259	0.104028571428572	0.00757963775219581	0.00757963775219581	0.0385104606120053	0.00507101139710584	0.00507101139710584	0.00757963775219581	0.105253968253968	0.00344466799632204	0.00344466799632204	0.00344466799632204	0.0176872177808566	0.0172417085102333	0.0172417085102333
Train.GSE10667_GSM269757_Control	0.289525221204328	0	0	0.419175381149856	0	0.412746518193368	0.41073722482515	0.397137703849126	0.387567707789237	0.407416877810456	0.399967644177073	0.408840849420485	0.384785754274702	0.400111931990899	0.314851733873081	0.381898598681401	0.314771472197438	0.374188403860454	0.374350050209408	0.374350050209408	0.353289752618062	0.381911969769867	0.373288577465346	0.362218623935176	0.35206402881679	0.353289752618062	0.370794533662899	0.360505365992104	0.403802288748966	0.403802288748966	0.229307208611695	0.229307208611695	0	0.229307208611695	0.403802288748966	0.327914258776983	0.315239309174827	0.210584112610432	0.222506391939157	0.347267829342056	0.311360977288051	0.320863983609774	0.294405123780739	0.317164662675065	0.32627151026251	0.289330477862583	0.313194719806719	0.316463503460141	0.321087234382639	0.222506391939157	0.222506391939157	0.366629043315643	0.366629043315643	0.284057882180426	0.284057882180426	0.346395417646182	0.355537211314166	0.361120413421667	0.353031574407858	0.342936138408167	0.351409065794086	0.355808757572555	0.355808757572555	0.355689507988015	0.360840647974395	0.359584660017984	0.35499181818902	0.246361754972554	0.378205100374731	0.372584276058438	0.289525221204328	0.289525221204328	0.289525221204328	0.289525221204328	0.289525221204328	0.351040824060762	0.355218952705541	0.354964477628766	0.347011125003117	0.331457798981944	0.328719427952927	0.354147570246298	0.363223509518595	0.292845238095238	0.315241666666667	0.215798152502854	0.106712577572063	0.245448964661892	0	0	0.271284523809524	0.12602989227563	0.108952234127537	0.194714682539683	0.222556081224859	0.222556081224859	0.237523972596871	0.219767357866976	0.219767357866976	0.222556081224859	0.196267857142857	0.107526188718859	0.107526188718859	0.107526188718859	0.136377389707137	0.10739277803975	0.10739277803975
Train.GSE10667_GSM269758_Control	0.0125241745878501	0	0	0.0802229440701784	0	0.0748962128409167	0.0772620863241457	0.0668141674727872	0.0634989418536526	0.0829672872307483	0.0765445639820797	0.079839566036961	0.0684241845721542	0.0809278226264566	0.0656388687908199	0.0699271767581642	0.0657240217959764	0.0641301385984923	0.0678049845319461	0.0678049845319461	0.0558877612127772	0.0826209857303156	0.07484383136957	0.06948872311134	0.0649461130939392	0.0558877612127772	0.0769544065932437	0.0720779265107272	0.0122845140134731	0.0122845140134731	0.00849870215083458	0.00849870215083458	0	0.00849870215083458	0.0122845140134731	0.19262655652507	0.175939995118497	0.0913335322916485	0.0815811717231681	0.214932606640217	0.169488343791683	0.177257729795013	0.144560511976653	0.171854546841336	0.184794603020276	0.153158249599733	0.165055178281137	0.174439715968207	0.174954760532044	0.0815811717231681	0.0815811717231681	0.0799613989976562	0.0799613989976562	0.0298526207312125	0.0298526207312125	0.0494926285220323	0.0586815003362439	0.0723565722667537	0.0628582499260268	0.0471274931519396	0.0554138998594613	0.0653309094569195	0.0653309094569195	0.0576927229219778	0.0632248988184296	0.06632140959303	0.0611206401278046	0.116807537261608	0.0886515234171263	0.081163725814585	0.0125241745878501	0.0125241745878501	0.0125241745878501	0.0125241745878501	0.0125241745878501	0.0584924100962635	0.0631202243194693	0.063619788125891	0.0549370672045381	0.0721351985569289	0.0724851997686948	0.0610737241992795	0.0715819794603675	0.164705555555556	0.1546	0.0891848941511606	0.183218096811342	0.117851718576377	0	0	0.167531746031746	0.0811311495111611	0.0645407851480767	0.196748015873016	0.0143475384098523	0.0143475384098523	0.0957063317731646	0.0211512989181894	0.0211512989181894	0.0143475384098523	0.207453174603175	0.000806196457192053	0.000806196457192053	0.000806196457192053	0.0610485765275439	0.0282349820730975	0.0282349820730975
